2018-02-01 17:39:16.236228|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.0.13.8 (2017-07-19 08:26:51)
2018-02-01 17:39:16.236474|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.13.0-139-generic #188-Ubuntu SMP Tue Jan 9 14:43:09 UTC 2018 x86_64 Binary: 64bit
2018-02-01 17:39:16.236547|INFO    |ServerLibPriv |   |Using hardware aes
2018-02-01 17:39:16.237502|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-02-01 17:39:16.237551|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-02-01 17:39:16.245938|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-02-01 17:39:16.269946|INFO    |SQL           |   |db_CreateTables() tables created
2018-02-01 17:39:20.321617|INFO    |Accounting    |   |Licensed by r4p3.netx
2018-02-01 17:39:20.321708|INFO    |Accounting    |   |licensed to       : MESMERiZE
2018-02-01 17:39:20.321793|INFO    |Accounting    |   |type              : Hoster
2018-02-01 17:39:20.321836|INFO    |Accounting    |   |starting date     : Fri Jan  1 00:00:00 2010
2018-02-01 17:39:20.321862|INFO    |Accounting    |   |ending date       : Wed Jan  1 00:00:00 2025
2018-02-01 17:39:20.321882|INFO    |Accounting    |   |max virtualservers: 65535
2018-02-01 17:39:20.321901|INFO    |Accounting    |   |max slots         : 16776960
2018-02-01 17:39:21.769344|INFO    |              |   |Puzzle precompute time: 1410
2018-02-01 17:39:21.770225|INFO    |FileManager   |   |listening on 0.0.0.0:30033, :::30033
2018-02-01 17:39:21.770787|INFO    |VirtualSvrMgr |   |executing monthly interval
2018-02-01 17:39:21.770892|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2018-02-01 17:39:21.781260|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2018-02-01 17:39:21.781481|INFO    |Query         |   |listening on 0.0.0.0:10011, :::10011
2018-02-01 17:40:32.349196|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
2018-02-01 17:40:32.409146|ERROR   |              |   |TS3ANetwork::Connect failed error: 111
2018-02-01 17:40:32.409226|ERROR   |              |   |Unable to connect to primary address, trying secondary
2018-02-01 17:40:32.409361|ERROR   |              |   |TS3ANetwork::Connect failed error: 111
